Label,ImageSize_D1,ImageSize_D2
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,360,363
0,366,369
0,360,363
