Metric,Group1,Group2,Statistic,p-value,Significant
White_Area,5,6,658369.0,1.8046887297716313e-88,True
White_Area,5,4,2894928.0,1.1779203896967515e-16,True
White_Area,5,7,3751134.0,0.0,True
White_Area,5,0,1483486.5,2.6725638342664704e-130,True
White_Area,5,1,2329848.5,0.0,True
White_Area,5,3,1873787.0,3.661962214292085e-83,True
White_Area,5,2,1887541.5,0.0,True
White_Area,6,4,3322959.5,7.330191286991644e-223,True
White_Area,6,7,3085319.0,0.0,True
White_Area,6,0,1447950.0,1.7969268944344716e-279,True
White_Area,6,1,1946221.5,0.0,True
White_Area,6,3,1939838.0,3.1868355437781376e-273,True
White_Area,6,2,1571088.5,0.0,True
White_Area,4,7,6861280.0,0.0,True
White_Area,4,0,2613264.5,3.994697162705879e-128,True
White_Area,4,1,4260412.0,0.0,True
White_Area,4,3,3185253.0,1.827731136952651e-60,True
White_Area,4,2,3461258.0,0.0,True
White_Area,7,0,68.0,0.0,True
White_Area,7,1,136200.0,0.0,True
White_Area,7,3,3890.0,0.0,True
White_Area,7,2,10768.5,0.0,True
White_Area,0,1,1554112.0,0.0,True
White_Area,0,3,771559.5,2.5828251903350913e-16,True
White_Area,0,2,1250059.5,5.593611517745505e-286,True
White_Area,1,3,156729.5,0.0,True
White_Area,1,2,607879.5,1.19260413256239e-30,True
White_Area,3,2,1737150.5,0.0,True
